Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Tokyo,2020,50,Freestyle,0,Women,AUS,Emma Mckeon,23.81,1
Tokyo,2020,50,Freestyle,0,Women,SWE,Sarah Sjoestroem,24.07,2
Tokyo,2020,50,Freestyle,0,Women,DEN,Pernille Blume,24.21,3
Tokyo,2020,50,Freestyle,0,Women,NED,Ranomi Kromowidjojo,24.3,4
Tokyo,2020,50,Freestyle,0,Women,POL,Katarzyna Wasick,24.32,4
Tokyo,2020,50,Freestyle,0,Women,CHN,Qingfeng Wu,24.32,4
Tokyo,2020,50,Freestyle,0,Women,AUS,Cate Campbell,24.36,4
Tokyo,2020,50,Freestyle,0,Women,USA,Abbey Weitzeil,24.41,4
Tokyo,2020,800,Freestyle,0,Women,USA,Katie Ledecky,08:12.6,1
Tokyo,2020,800,Freestyle,0,Women,AUS,Ariarne Titmus,08:13.8,2
Tokyo,2020,800,Freestyle,0,Women,ITA,Simona Quadarella,08:18.3,3
Tokyo,2020,800,Freestyle,0,Women,USA,Katie Grimes,08:19.4,4
Tokyo,2020,800,Freestyle,0,Women,CHN,Jianjiahe Wang,08:21.9,4
Tokyo,2020,800,Freestyle,0,Women,AUS,Kiah Melverton,08:22.2,4
Tokyo,2020,800,Freestyle,0,Women,GER,Sarah Kohler,08:24.6,4
Tokyo,2020,800,Freestyle,0,Women,ROC,Anastasiia Kirpichnikova,08:26.3,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
